epoch,train_loss,val_loss,val_mape,val_mape_ME,val_mape_NH,val_mape_VT,val_mape_CT,val_mape_RI,val_mape_SEMA,val_mape_WCMA,val_mape_NEMA_BOST,lr,epoch_time
0,0.5472282623761593,0.6980969902808399,11.224318146705627,8.828471183776855,10.100756645202637,15.682032585144043,11.511852264404297,11.333287239074707,12.11482048034668,10.533681869506836,9.689642906188965,0.001,6264.89732336998
1,0.4186357384173361,0.6143222706060704,12.03016746044159,7.878807067871094,10.987054824829102,15.267183303833008,12.90589427947998,12.355260848999023,13.640674591064453,11.16484546661377,12.041619300842285,0.0009890738003669028,6072.881760120392
2,0.39982482804470276,0.5434198059992159,10.293707013130188,8.534866333007812,9.2800874710083,15.424917221069336,10.433382987976074,9.187240600585938,10.721227645874023,9.450740814208984,9.317193031311035,0.0009567727288213003,5991.972102642059
3,0.3569425268081701,0.5422318418531521,9.72461324930191,6.751545429229736,8.422000885009766,14.108702659606934,9.970894813537598,9.543852806091309,10.562666893005371,9.116586685180664,9.320655822753906,0.0009045084971874737,5902.409574270248
4,0.34447738183534715,0.5218000147797882,9.157956779003143,7.8821234703063965,7.951276779174805,13.051912307739258,9.092251777648926,8.89467716217041,10.11048412322998,8.133810997009277,8.147117614746094,0.0008345653031794292,5757.632266283035
5,0.32836149335417847,0.4689643342643296,10.452513992786407,6.634541034698486,9.03971004486084,14.788664817810059,11.901205062866211,9.81089973449707,10.761691093444824,10.105676651000977,10.577723503112793,0.00075,5825.603212594986
6,0.3181247185754109,0.40936786552814586,8.762298464775085,6.231171607971191,7.3860979080200195,13.596166610717773,8.61294174194336,8.658844947814941,9.138265609741211,7.7827348709106445,8.692164421081543,0.0006545084971874737,5594.797926187515
7,0.30200984416248866,0.4297601572038036,8.995831668376923,6.331051349639893,7.565450668334961,11.243921279907227,9.820381164550781,9.107522010803223,10.101799964904785,8.265314102172852,9.53121280670166,0.0005522642316338268,5629.680613517761
8,0.2662117068447411,0.36224586675156195,9.260766804218292,5.896542072296143,7.941277503967285,11.33121395111084,11.188311576843262,9.100137710571289,10.311335563659668,9.096364974975586,9.220951080322266,0.0004477357683661734,5469.648092985153
9,0.24780553812543823,0.33494611618929804,7.636469066143036,5.771302223205566,6.552133083343506,10.332615852355957,8.005243301391602,7.270415782928467,8.466001510620117,7.166995048522949,7.527045726776123,0.0003454915028125264,5847.084182024002
10,0.23804671177087716,0.2946455993328124,7.503508627414703,5.369328498840332,6.552315711975098,10.285041809082031,8.036886215209961,6.870192527770996,8.21923828125,7.086974143981934,7.608091831207275,0.0002500000000000001,5728.691981315613
11,0.21853527164928718,0.27607475878271065,7.1321210861206055,5.617923736572266,6.3964738845825195,9.826508522033691,7.217568874359131,6.582883834838867,7.780799865722656,6.755701541900635,6.879108428955078,0.00016543469682057103,5824.071738243103
12,0.20986275038082305,0.2652838681335455,6.9661365151405334,5.373154163360596,6.1072564125061035,9.592045783996582,7.009448051452637,6.501624584197998,7.888467788696289,6.698678493499756,6.558416843414307,9.549150281252631e-05,5806.2489540576935
13,0.20384236102898234,0.2654687120260237,6.918447554111481,5.336973667144775,6.093423843383789,9.858028411865234,7.024835109710693,6.243545055389404,7.567392349243164,6.575325965881348,6.6480560302734375,4.322727117869951e-05,5766.94330406189
